strUC,intNSglobal,intITIScode,intGapNSmatch,intGapITISmatch
aRISAx,104324,173594,0,0
aFFSAx,802301,173596,0,0
aNOSAx,103251,173597,0,0
aJESAx,100401,173598,0,0
aBUPSx,102149,173599,0,0
aMBSAx,101261,173600,0,0
aLTOPx,106403,173601,0,0
aSPOSx,104612,173590,0,0
aMASAx,104610,173591,0,0
aMOSAx,103509,173604,0,0
aSMMSx,103285,173605,0,0
aETSAx,101447,173592,0,0
aBTISx,100277,668193,0,0
aSTRSx,100100,208204,0,0
aCTGSx,104488,173595,0,0
aRFSAx,802300,775866,0,0
aTWAMx,104318,173609,0,0
aOTAMx,103402,173611,0,0
aTHAMx,103379,173612,0,0
aHELLx,105670,173587,0,0
aHELLa,101863,208175,0,0
aHELLb,102421,208176,0,0
aGRSAx,103197,173699,0,0
aCLSAx,102082,173700,0,0
aBLASx,101525,173701,0,0
aSMTSx,105472,173702,0,0
aARSAx,100852,173703,0,0
aWASAx,104517,668242,0,0
aCSLSx,100895,173706,0,0
aINSAx,100550,173707,0,0
aGSSAx,103750,208343,0,0
aBBSSx,104368,173708,0,0
aCISSx,105315,173709,0,0
aRSSAx,102917,208344,0,0
aKCSSx,100572,173710,0,0
aTSSAx,100216,173711,0,0
aOSSAx,100214,573579,0,0
aSGSSx,100899,550545,0,0
aGGSAx,102297,573576,0,0
aHHSSx,106376,573575,0,0
aKRSSx,103787,573578,0,0
aSSLSx,102718,573577,0,0
aSMSSx,103559,668245,0,0
aLSSAx,101886,668246,0,0
aSSSSx,102298,668244,0,0
aGMSSx,106468,668243,0,0
aKPSAx,104026,668247,0,0
aSEESx,100247,173636,0,0
aSODSx,105932,173637,0,0
aODSAx,104852,173638,0,0
aNDSAx,104045,173633,0,0
aSPDSx,102338,668240,0,0
aIMSAx,102868,173639,0,0
aSEASx,102693,173640,0,0
aAMDSx,100634,173641,0,0
aBESAx,105247,173642,0,0
aBMSAx,102488,173644,0,0
aPYSAx,102489,173645,0,0
aSADSx,101251,173643,0,0
aADSAx,103933,208266,0,0
aCMDSx,105137,550253,0,0
aOCSAx,102721,550243,0,0
aBRDSx,106222,550245,0,0
aSNSAx,101588,550398,0,0
aDBBSx,636912,668241,0,0
aCUDSx,681169,668239,0,0
aENSAx,105136,173732,0,0
aNTLSx,105466,173685,0,0
aJUSAx,105673,173690,0,0
aCCSAx,106058,208320,0,0
aLTASx,100456,173687,0,0
aCVSAx,102314,173691,0,0
aMRSAx,101268,173692,0,0
aSMSAx,106379,173693,0,0
aTXSAx,105042,173694,0,0
aDWSAx,105209,173695,0,0
aCHDSx,101323,668289,0,0
aCBSAx,105210,173696,0,0
aVFSAx,103620,208323,0,0
