GAP_code,common_name,scientific_name,start_date,end_date,publication_date,citation,place_keywords,theme_keywords,modeler,NatureServe_element_code,TSN_code,EGT_ID,input_data,IPDS,abstract
aABSAx,Austin Blind Salamander,Eurycea waterlooensis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Austin Blind Salamander (Eurycea waterlooensis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea waterlooensis, Austin Blind Salamander",Ken Boykin,AAAAD05310,668294,102183,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Austin Blind Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Atlantic Coast Slimy Salamander (Plethodon chlorobryonis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon chlorobryonis, Atlantic Coast Slimy Salamander",,AAAAD12500,208282,732489,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Atlantic Coast Slimy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Apalachicola Dusky Salamander (Desmognathus apalachicolae) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus apalachicolae, Apalachicola Dusky Salamander",,AAAAD03120,208266,103933,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Apalachicola Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aAGTOx,Amargosa Toad,Anaxyrus nelsoni,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Amargosa Toad (Anaxyrus nelsoni) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus nelsoni, Amargosa Toad",,AAABB01190,773526,103677,['undocumented'],IP-082267,"This dataset represents a species habitat distribution model for Amargosa Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aAMBUx,American Bullfrog,Lithobates catesbeianus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, American Bullfrog (Lithobates catesbeianus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Lithobates catesbeianus, American Bullfrog",Ken Boykin,AAABH01070,775084,105926,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for American Bullfrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aAMDSx,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Allegheny Mountain Dusky Salamander (Desmognathus ochrophaeus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus ochrophaeus, Allegheny Mountain Dusky Salamander",Matthew Rubino,AAAAD03070,173641,100634,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Allegheny Mountain Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aAMTOx,American Toad,Anaxyrus americanus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, American Toad (Anaxyrus americanus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus americanus, American Toad",Ken Boykin,AAABB01020,773511,102753,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for American Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aARSAx,Arboreal Salamander,Aneides lugubris,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arboreal Salamander (Aneides lugubris) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Aneides lugubris, Arboreal Salamander",Ken Boykin,AAAAD01050,173703,100852,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Arboreal Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aARTOx,Arroyo Toad,Anaxyrus californicus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arroyo Toad (Anaxyrus californicus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus californicus, Arroyo Toad",,AAABB01230,773514,106312,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Arroyo Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aAZTOx,Arizona Toad,Anaxyrus microscaphus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arizona Toad (Anaxyrus microscaphus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus microscaphus, Arizona Toad",Jeff Lonneker,AAABB01110,773525,105766,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Arizona Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aAZTRx,Arizona Treefrog,Hyla wrightorum,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arizona Treefrog (Hyla wrightorum) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hyla wrightorum, Arizona Treefrog",Ken Boykin,AAABC02080,207283,103108,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Arizona Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBAFRx,Barking Frog,Craugastor augusti,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barking Frog (Craugastor augusti) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Craugastor augusti, Barking Frog",Ken Boykin,AAABD04170,773869,102193,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Barking Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBATRx,Barking Treefrog,Hyla gratiosa,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Barking Treefrog (Hyla gratiosa) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Hyla gratiosa, Barking Treefrog",Ken Boykin,AAABC02100,173508,106453,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Barking Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBBSSx,Black-bellied Slender Salamander,Batrachoseps nigriventris,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black-bellied Slender Salamander (Batrachoseps nigriventris) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Batrachoseps nigriventris, Black-bellied Slender Salamander",Ken Boykin,AAAAD02050,173708,104368,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Black-bellied Slender Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBCSAx,Berry Cave Salamander,Gyrinophilus gulolineatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Berry Cave Salamander (Gyrinophilus gulolineatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Gyrinophilus gulolineatus, Berry Cave Salamander",Matthew Rubino,AAAAD06040,550249,104271,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Berry Cave Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBCTRx,Baja California Treefrog,Pseudacris hypochondriaca,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Baja California Treefrog (Pseudacris hypochondriaca) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Pseudacris hypochondriaca, Baja California Treefrog",Ken Boykin,AAABC051G1,774546,999,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Baja California Treefrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBESAx,Black-bellied Salamander,Desmognathus quadramaculatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black-bellied Salamander (Desmognathus quadramaculatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus quadramaculatus, Black-bellied Salamander",Matthew Rubino,AAAAD03080,173642,105247,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Black-bellied Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBGCSx,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blue Ridge Gray-cheeked Salamander (Plethodon amplus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon amplus, Blue Ridge Gray-cheeked Salamander",,AAAAD12450,668316,100600,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Blue Ridge Gray-cheeked Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBGSAx,Big Levels Salamander,Plethodon sherando,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Big Levels Salamander (Plethodon sherando) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Plethodon sherando, Big Levels Salamander",Matthew Rubino,AAAAD12550,775911,757080,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Big Levels Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBLASx,Black Salamander,Aneides flavipunctatus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Salamander (Aneides flavipunctatus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Aneides flavipunctatus, Black Salamander",Ken Boykin,AAAAD01030,173701,101525,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Black Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBLSAx,Blanco Blind Salamander,Eurycea robusta,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Blanco Blind Salamander (Eurycea robusta) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Eurycea robusta, Blanco Blind Salamander",Ken Boykin,AAAAD05260,586344,104377,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Blanco Blind Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBLTOx,Black Toad,Anaxyrus exsul,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Toad (Anaxyrus exsul) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Anaxyrus exsul, Black Toad",Ken Boykin,AAABB01070,773519,101917,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Black Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBMSAx,Black Mountain Salamander,Desmognathus welteri,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Black Mountain Salamander (Desmognathus welteri) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Desmognathus welteri, Black Mountain Salamander",,AAAAD03090,173644,102488,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Black Mountain Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
aBOFRx,Boreal Chorus Frog,Pseudacris maculata,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Boreal Chorus Frog (Pseudacris maculata) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/TOBEDETERMINED.",United States,"Pseudacris maculata, Boreal Chorus Frog",Ken Boykin,AAABC05130,207312,806592,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Boreal Chorus Frog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range."
