GAP_code,common_name,scientific_name,start_date,end_date,publication_date,citation,place_keywords,theme_keywords,editor,reviewer,NatureServe_element_code,TSN_code,Global_SEQ_ID,input_data,IPDS,abstract,doi,ScienceBase_url
aABSAx,Austin Blind Salamander,Eurycea waterlooensis,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Austin Blind Salamander (Eurycea waterlooensis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7K072JJ.",United States,"Eurycea waterlooensis, Austin Blind Salamander",Ken Boykin,Steve Williams,AAAAD05310,668294,102183,"['forest_edge', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Austin Blind Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7K072JJ,https://www.sciencebase.gov/catalog/item/58fa3a99e4b0b7ea545247f5
aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Atlantic Coast Slimy Salamander (Plethodon chlorobryonis) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7F769TT.",United States,"Plethodon chlorobryonis, Atlantic Coast Slimy Salamander",Matt Rubino,Jeff Lonneker,AAAAD12500,208282,732489,"['natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Atlantic Coast Slimy Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7F769TT,https://www.sciencebase.gov/catalog/item/58fa3f03e4b0b7ea5452484f
aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Apalachicola Dusky Salamander (Desmognathus apalachicolae) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F79G5K22.",United States,"Desmognathus apalachicolae, Apalachicola Dusky Salamander",Matt Rubino,Jeff Lonneker,AAAAD03120,208266,103933,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Apalachicola Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F79G5K22,https://www.sciencebase.gov/catalog/item/58fa3f06e4b0b7ea54524853
aAGTOx,Amargosa Toad,Anaxyrus nelsoni,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Amargosa Toad (Anaxyrus nelsoni) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F75Q4TBB.",United States,"Anaxyrus nelsoni, Amargosa Toad",Ken Boykin,Jeff Lonneker,AAABB01190,773526,103677,['undocumented'],IP-082267,"This dataset represents a species habitat distribution model for Amargosa Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F75Q4TBB,https://www.sciencebase.gov/catalog/item/58fa3f09e4b0b7ea54524856
aAMBUx,American Bullfrog,Lithobates catesbeianus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, American Bullfrog (Lithobates catesbeianus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F71Z42PW.",United States,"Lithobates catesbeianus, American Bullfrog",Ken Boykin,Jeff Lonneker,AAABH01070,775084,105926,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for American Bullfrog.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F71Z42PW,https://www.sciencebase.gov/catalog/item/58fa3f0be4b0b7ea54524859
aAMDSx,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Allegheny Mountain Dusky Salamander (Desmognathus ochrophaeus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7X928JB.",United States,"Desmognathus ochrophaeus, Allegheny Mountain Dusky Salamander",Matt Rubino,Steve Williams,AAAAD03070,173641,100634,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Allegheny Mountain Dusky Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7X928JB,https://www.sciencebase.gov/catalog/item/58fa3f0ee4b0b7ea5452485c
aAMTOx,American Toad,Anaxyrus americanus,2008.0,2015.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, American Toad (Anaxyrus americanus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7SJ1HV2.",United States,"Anaxyrus americanus, American Toad",Ken Boykin,Jeff Lonneker,AAABB01020,773511,102753,"['natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for American Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7SJ1HV2,https://www.sciencebase.gov/catalog/item/58fa3f11e4b0b7ea5452485f
aARSAx,Arboreal Salamander,Aneides lugubris,2008.0,2016.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arboreal Salamander (Aneides lugubris) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7NS0S56.",United States,"Aneides lugubris, Arboreal Salamander",Ken Boykin,Jeff Lonneker,AAAAD01050,173703,100852,['natl_GAP_land_cover_ver1.0_(2001)'],IP-082267,"This dataset represents a species habitat distribution model for Arboreal Salamander.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7NS0S56,https://www.sciencebase.gov/catalog/item/58fa3f13e4b0b7ea54524862
aARTOx,Arroyo Toad,Anaxyrus californicus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arroyo Toad (Anaxyrus californicus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7J101F5.",United States,"Anaxyrus californicus, Arroyo Toad",Ken Boykin,Jeff Lonneker,AAABB01230,773514,106312,"['hydrology', 'natl_GAP_land_cover_ver1.0_(2001)', 'elevation']",IP-082267,"This dataset represents a species habitat distribution model for Arroyo Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7J101F5,https://www.sciencebase.gov/catalog/item/58fa3f16e4b0b7ea54524866
aAZTOx,Arizona Toad,Anaxyrus microscaphus,2008.0,2013.0,2017.0,"U.S. Geological Survey - Gap Analysis Program, 2017, Arizona Toad (Anaxyrus microscaphus) Habitat Map, U.S. Geological Survey data release, https://doi.org/10.5066/F7D798PF.",United States,"Anaxyrus microscaphus, Arizona Toad",Ken Boykin,Jeff Lonneker,AAABB01110,773525,105766,"['elevation', 'natl_GAP_land_cover_ver1.0_(2001)', 'hydrology']",IP-082267,"This dataset represents a species habitat distribution model for Arizona Toad.  These habitat maps are created by applying a <a href=""https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326"">deductive habitat model</a> to remotely-sensed data layers within a species' range.",https://doi.org/10.5066/F7D798PF,https://www.sciencebase.gov/catalog/item/58fa3f19e4b0b7ea5452486a
