"doi","title","pubdate","publisher","url","resourcetype","date","datetype","abstractdesc","abstractdesctype","subject","username","created","modified","status","datasource","datacite_creation_date","link_checking_status"
"doi:10.5066/F70V8BXH","Microtus californicus scirpensis (Amargosa Vole) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec69e4b063d5d307e6cd","Dataset",,,"This dataset represents a species known range extent for Microtus californicus scirpensis (Amargosa Vole). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:07:56.122","2017-11-01 09:07:56.122","reserved",,,
"doi:10.5066/F74M93N7","Dipodomys spectabilis (Banner-tailed Kangaroo Rat) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e25fe4b063d5d307de47","Dataset",,,"This dataset represents a species known range extent for Dipodomys spectabilis (Banner-tailed Kangaroo Rat). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:07:40.795","2017-11-01 09:07:40.795","reserved",,,
"doi:10.5066/F7891513","Ammospermophilus harrisii (Harris' Antelope Squirrel) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e1bfe4b063d5d307dab3","Dataset",,,"This dataset represents a species known range extent for Ammospermophilus harrisii (Harris' Antelope Squirrel). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:07:26.452","2017-11-01 09:07:26.452","reserved",,,
"doi:10.5066/F7D21WR1","Canis lupus rufus (Red Wolf) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e251e4b063d5d307ddeb","Dataset",,,"This dataset represents a species known range extent for Canis lupus rufus (Red Wolf). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:07:12.709","2017-11-01 09:07:12.709","reserved",,,
"doi:10.5066/F7HT2NF0","Charadrius alexandrinus nivosus (Western Snowy Plover) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebaee4b063d5d307e097","Dataset",,,"This dataset represents a species known range extent for Charadrius alexandrinus nivosus (Western Snowy Plover). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:06:58.862","2017-11-01 09:06:58.862","reserved",,,
"doi:10.5066/F7NK3D5Q","Cairina moschata (Muscovy Duck) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5e28fe4b063d5d307df53","Dataset",,,"This dataset represents a species known range extent for Cairina moschata (Muscovy Duck). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:06:44.768","2017-11-01 09:06:44.768","reserved",,,
"doi:10.5066/F7SB44W1","Gavia stellata (Red-throated Loon) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec5ae4b063d5d307e661","Dataset",,,"This dataset represents a species known range extent for Gavia stellata (Red-throated Loon). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:06:30.933","2017-11-01 09:06:30.933","reserved",,,
"doi:10.5066/F7X34WMC","Icterus pustulatus (Streak-backed Oriole) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebf2e4b063d5d307e2c7","Dataset",,,"This dataset represents a species known range extent for Icterus pustulatus (Streak-backed Oriole). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:06:16.446","2017-11-01 09:06:16.446","reserved",,,
"doi:10.5066/F71V5D3R","Cardellina rubrifrons (Red-faced Warbler) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ebe4e4b063d5d307e243","Dataset",,,"This dataset represents a species known range extent for Cardellina rubrifrons (Red-faced Warbler). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:06:00.71","2017-11-01 09:06:00.71","reserved",,,
"doi:10.5066/F75H7FDR","Asio flammeus (Short-eared Owl) Range Map","2017","U.S. Geological Survey","https://www.sciencebase.gov/catalog/item/59f5ec3ae4b063d5d307e531","Dataset",,,"This dataset represents a species known range extent for Asio flammeus (Short-eared Owl). These range maps are created by attributing sub-watershed polygons with information of a species presence, origin, seasonal and reproductive use.","Abstract",,"sbristol@usgs.gov","2017-11-01 09:05:46.485","2017-11-01 09:05:46.485","reserved",,,
